,english_tokens,is_polarize,polarity
176,good,True,Pos
177,within,False,Neu
178,already,False,Neu
179,me,False,Neu
180,measures,False,Neu
181,vote,False,Neu
182,both,False,Neu
183,may,False,Neu
184,clear,True,Pos
185,over,False,Neu
186,common,False,Neu
187,your,False,Neu
188,why,False,Neu
189,still,False,Neu
190,see,False,Neu
191,under,False,Neu
192,cooperation,False,Neu
193,know,False,Neu
194,use,False,Neu
195,thank,True,Pos
196,mrs,False,Neu
197,/,False,Neu
198,view,False,Neu
199,his,False,Neu
200,he,False,Neu
201,course,False,Neu
202,then,False,Neu
203,hope,True,Pos
204,taken,False,Neu
205,particular,False,Neu
206,last,False,Neu
207,own,False,Neu
208,case,False,Neu
209,house,False,Neu
210,process,False,Neu
211,able,False,Neu
212,level,False,Neu
213,action,False,Neu
214,financial,False,Neu
215,%,False,Neu
216,rapporteur,False,Neu
217,place,False,Neu
218,without,False,Neu
219,security,True,Pos
220,gentlemen,False,Neu
221,system,False,Neu
222,ladies,False,Neu
223,amendments,False,Neu
224,example,False,Neu
225,number,True,Pos
226,before,False,Neu
227,government,False,Neu
228,area,False,Neu
229,means,False,Neu
230,great,True,Pos
231,ensure,True,Pos
232,issues,False,Neu
233,information,False,Neu
234,united,True,Pos
235,put,False,Neu
236,energy,True,Pos
237,given,False,Neu
238,legal,True,Pos
239,women,False,Neu
240,health,False,Neu
241,through,False,Neu
242,problem,True,Neg
243,rules,False,Neu
244,end,False,Neu
245,since,False,Neu
246,law,False,Neu
247,protection,False,Neu
248,services,False,Neu
249,budget,False,Neu
250,programme,False,Neu
251,presidency,False,Neu
252,problems,True,Neg
253,trade,False,Neu
254,long,False,Neu
255,regard,False,Neu
256,far,False,Neu
257,give,False,Neu
258,particularly,False,Neu
259,areas,False,Neu
260,matter,True,Pos
261,position,False,Neu
262,framework,False,Neu
263,whether,False,Neu
264,decision,False,Neu
265,necessary,False,Neu
266,set,False,Neu
267,respect,True,Pos
268,again,False,Neu
269,after,False,Neu
270,further,False,Neu
271,let,False,Neu
272,treaty,False,Neu
273,resolution,False,Neu
274,amendment,False,Neu
275,done,False,Neu
276,regulation,False,Neu
277,basis,False,Neu
278,legislation,False,Neu
279,proposals,False,Neu
280,behalf,False,Neu
281,next,False,Neu
282,general,False,Neu
283,aid,False,Neu
284,role,False,Neu
285,certain,True,Pos
286,terms,False,Neu
287,better,True,Pos
288,adopted,False,Neu
289,different,False,Neu
290,present,False,Neu
291,come,False,Neu
292,wish,True,Pos
293,something,False,Neu
294,sector,False,Neu
295,strategy,False,Neu
296,progress,True,Pos
297,needs,False,Neu
298,making,False,Neu
299,institutions,False,Neu
300,continue,False,Neu
301,research,False,Neu
302,agree,True,Pos
303,another,False,Neu
304,three,False,Neu
305,concerned,False,Neu
306,favour,True,Pos
307,working,False,Neu
308,opinion,False,Neu
309,subject,False,Neu
310,ask,False,Neu
311,few,False,Neu
312,environment,False,Neu
313,help,True,Pos
314,whole,False,Neu
315,forward,False,Neu
316,welcome,True,Pos
317,madam,False,Neu
318,change,False,Neu
319,safety,True,Pos
320,shall,False,Neu
321,approach,False,Neu
322,every,False,Neu
323,fundamental,False,Neu
324,proposed,False,Neu
325,principle,False,Neu
326,second,False,Neu
327,together,False,Neu
328,result,False,Neu
329,going,False,Neu
330,transport,False,Neu
331,high,False,Neu
332,during,False,Neu
333,industry,False,Neu
334,towards,False,Neu
335,clearly,True,Pos
336,based,False,Neu
337,rather,False,Neu
338,go,False,Neu
339,yet,False,Neu
340,affairs,False,Neu
341,specific,False,Neu
342,environmental,False,Neu
343,internal,False,Neu
344,opportunity,True,Pos
345,importance,True,Pos
346,quite,False,Neu
347,down,False,Neu
348,conditions,False,Neu
349,once,False,Neu
350,including,False,Neu
351,did,False,Neu
352,democracy,False,Neu
353,million,False,Neu
354,finally,False,Neu
355,employment,False,Neu
356,used,False,Neu
357,current,False,Neu
358,become,False,Neu
359,resources,False,Neu
360,authorities,False,Neu
361,procedure,False,Neu
362,while,False,Neu
363,account,False,Neu
364,negotiations,False,Neu
365,especially,False,Neu
366,responsibility,False,Neu
367,provide,False,Neu
368,really,False,Neu
369,increase,True,Pos
370,reform,False,Neu
371,greater,True,Pos
372,free,True,Pos
373,third,False,Neu
374,itself,False,Neu
375,least,False,Neu
376,indeed,False,Neu
377,deal,False,Neu
378,having,False,Neu
379,policies,False,Neu
380,find,False,Neu
381,call,False,Neu
382,democratic,False,Neu
383,each,False,Neu
384,regions,False,Neu
385,funds,False,Neu
386,society,False,Neu
387,freedom,True,Pos
388,always,False,Neu
389,serious,True,Neg
390,term,False,Neu
391,although,False,Neu
392,taking,False,Neu
393,things,False,Neu
394,effective,True,Pos
395,‘,False,Neu
396,achieve,False,Neu
397,access,False,Neu
398,products,False,Neu
399,reason,False,Neu
400,growth,True,Pos
401,attention,False,Neu
402,peace,True,Pos
403,office,False,Neu
404,eur,False,Neu
405,enlargement,False,Neu
406,get,False,Neu
407,small,False,Neu
408,control,False,Neu
409,difficult,True,Neg
410,points,False,Neu
411,competition,False,Neu
412,major,False,Neu
413,real,False,Neu
414,large,False,Neu
415,allow,True,Pos
416,convention,False,Neu
417,interests,True,Pos
418,implementation,False,Neu
419,various,False,Neu
420,less,False,Neu
421,money,False,Neu
422,positive,True,Pos
423,voted,False,Neu
424,words,False,Neu
425,efforts,False,Neu
426,back,False,Neu
427,quality,False,Neu
428,concerns,False,Neu
429,following,False,Neu
430,essential,False,Neu
431,hand,True,Pos
432,full,False,Neu
433,objectives,False,Neu
434,involved,False,Neu
435,look,False,Neu
436,life,False,Neu
437,justice,True,Pos
438,terrorism,True,Neg
439,workers,False,Neu
440,food,False,Neu
441,economy,False,Neu
442,party,True,Pos
443,lisbon,False,Neu
444,best,True,Pos
445,court,False,Neu
446,dialogue,False,Neu
447,certainly,True,Pos
448,regional,False,Neu
449,companies,False,Neu
450,aware,False,Neu
451,foreign,False,Neu
452,interest,True,Pos
453,recent,False,Neu
454,children,False,Neu
455,initiative,False,Neu
456,step,False,Neu
457,fully,False,Neu
458,often,False,Neu
459,relations,False,Neu
460,decisions,False,Neu
461,de,False,Neu
462,her,False,Neu
463,objective,False,Neu
464,1,False,Neu
465,day,False,Neu
466,solution,True,Pos
467,article,False,Neu
468,region,False,Neu
469,developing,False,Neu
470,majority,False,Neu
471,groups,False,Neu
472,education,False,Neu
473,open,False,Neu
474,consider,False,Neu
475,concern,False,Neu
476,ago,False,Neu
477,extremely,False,Neu
478,simply,False,Neu
479,turkey,False,Neu
480,field,False,Neu
481,fight,True,Neg
482,might,False,Neu
483,standards,False,Neu
484,constitution,False,Neu
485,accept,True,Pos
486,called,False,Neu
487,questions,False,Neu
488,though,False,Neu
489,bring,False,Neu
490,programmes,False,Neu
491,agreements,True,Pos
492,mentioned,False,Neu
493,single,False,Neu
494,others,False,Neu
495,form,False,Neu
496,text,False,Neu
497,start,False,Neu
498,production,False,Neu
499,perhaps,False,Neu
500,meeting,False,Neu
501,force,False,Neu
502,non,False,Neu
503,compromise,False,Neu
504,doing,False,Neu
505,rule,False,Neu
506,summit,False,Neu
507,risk,True,Neg
508,agenda,False,Neu
509,russia,False,Neu
510,power,False,Neu
511,themselves,False,Neu
512,main,False,Neu
513,global,False,Neu
514,agricultural,False,Neu
515,results,False,Neu
516,create,True,Pos
517,available,False,Neu
518,actually,False,Neu
519,concerning,False,Neu
520,needed,False,Neu
521,data,False,Neu
522,management,False,Neu
523,parties,True,Pos
524,context,False,Neu
525,appropriate,False,Neu
526,war,True,Neg
527,currently,False,Neu
528,plan,False,Neu
529,key,False,Neu
530,feel,False,Neu
531,period,False,Neu
532,cases,False,Neu
533,consumer,False,Neu
534,accession,False,Neu
535,improve,True,Pos
536,joint,False,Neu
537,secondly,False,Neu
538,conference,False,Neu
539,quot,False,Neu
540,minister,False,Neu
541,matters,True,Pos
542,civil,False,Neu
543,understand,False,Neu
544,stability,False,Neu
545,months,False,Neu
546,principles,False,Neu
547,upon,False,Neu
548,draft,False,Neu
549,funding,False,Neu
550,line,False,Neu
551,impact,False,Neu
552,!,False,Neu
553,nothing,False,Neu
554,responsible,True,Pos
555,firstly,False,Neu
556,euro,False,Neu
557,nations,False,Neu
558,thing,False,Neu
559,governments,False,Neu
560,solidarity,True,Pos
561,among,False,Neu
562,act,False,Neu
563,2000,False,Neu
564,sustainable,False,Neu
565,achieved,False,Neu
566,commitment,True,Pos
567,priority,False,Neu
568,enough,False,Neu
569,longer,False,Neu
570,past,False,Neu
571,2001,False,Neu
572,regarding,False,Neu
573,consumers,False,Neu
574,communication,False,Neu
575,reasons,False,Neu
576,regards,False,Neu
577,special,True,Pos
578,congratulate,True,Pos
579,final,False,Neu
580,labour,False,Neu
581,fund,False,Neu
582,kind,True,Pos
583,reports,False,Neu
584,idea,False,Neu
585,true,True,Pos
586,activities,False,Neu
587,individual,False,Neu
588,local,False,Neu
589,excellent,True,Pos
590,little,False,Neu
591,above,False,Neu
592,china,False,Neu
593,legislative,False,Neu
594,makes,False,Neu
595,organisations,False,Neu
596,mean,False,Neu
597,due,False,Neu
598,climate,False,Neu
599,systems,False,Neu
600,values,True,Pos
601,unfortunately,True,Neg
602,tomorrow,False,Neu
603,border,False,Neu
604,costs,False,Neu
605,promote,True,Pos
606,fisheries,False,Neu
607,crisis,True,Neg
608,lack,True,Neg
609,projects,False,Neu
610,agreed,True,Pos
611,prevent,True,Pos
612,significant,True,Pos
613,lead,False,Neu
614,seen,False,Neu
615,effect,False,Neu
616,sure,True,Pos
617,thus,False,Neu
618,project,False,Neu
619,apply,False,Neu
620,integration,False,Neu
621,central,False,Neu
622,relation,False,Neu
623,play,True,Pos
624,benefit,True,Pos
625,comes,False,Neu
626,moment,False,Neu
627,remain,False,Neu
628,aspects,False,Neu
629,several,False,Neu
630,provided,False,Neu
631,contribution,False,Neu
632,crucial,False,Neu
633,share,True,Pos
634,jobs,False,Neu
635,include,False,Neu
636,practice,False,Neu
637,off,False,Neu
638,everyone,False,Neu
639,external,False,Neu
640,until,False,Neu
641,guarantee,True,Pos
642,aim,False,Neu
643,actions,False,Neu
644,structural,False,Neu
645,response,False,Neu
646,markets,False,Neu
647,him,False,Neu
648,un,False,Neu
649,success,True,Pos
650,despite,False,Neu
651,discussion,False,Neu
652,agriculture,False,Neu
653,population,False,Neu
654,strong,True,Pos
655,military,False,Neu
656,never,False,Neu
657,express,False,Neu
658,colleagues,False,Neu
659,transparency,False,Neu
660,ourselves,False,Neu
661,equal,False,Neu
662,poverty,True,Neg
663,business,False,Neu
664,speak,False,Neu
665,budgetary,False,Neu
666,elections,False,Neu
667,statement,False,Neu
668,according,False,Neu
669,tabled,False,Neu
670,water,False,Neu
671,2004,False,Neu
672,immigration,False,Neu
673,short,False,Neu
674,addition,False,Neu
675,young,False,Neu
676,everything,False,Neu
677,service,False,Neu
678,violence,True,Neg
679,held,False,Neu
680,move,False,Neu
681,technical,False,Neu
682,parliamentary,False,Neu
683,2003,False,Neu
684,pleased,True,Pos
685,saying,False,Neu
686,voting,False,Neu
687,cohesion,False,Neu
688,left,False,Neu
689,existing,False,Neu
690,2002,False,Neu
691,adopt,True,Pos
692,investment,False,Neu
693,instead,False,Neu
694,she,False,Neu
695,presented,False,Neu
696,000,False,Neu
697,mind,False,Neu
698,changes,False,Neu
699,2,False,Neu
700,answer,False,Neu
701,soon,False,Neu
702,increasing,False,Neu
703,provisions,False,Neu
704,nor,False,Neu
705,opportunities,True,Pos
706,sense,False,Neu
707,furthermore,False,Neu
708,balance,False,Neu
709,tax,False,Neu
710,basic,False,Neu
711,criteria,False,Neu
712,close,False,Neu
713,fishing,False,Neu
714,pay,True,Neg
715,cultural,False,Neu
716,namely,False,Neu
717,item,False,Neu
718,stage,False,Neu
719,reach,True,Pos
720,nuclear,False,Neu
721,east,False,Neu
722,five,False,Neu
723,either,False,Neu
724,around,False,Neu
725,carried,False,Neu
726,thanks,True,Pos
727,conflict,True,Neg
728,closed,False,Neu
729,nature,False,Neu
730,organisation,False,Neu
731,protect,True,Pos
732,priorities,False,Neu
733,iraq,False,Neu
734,value,True,Pos
735,asked,False,Neu
736,assistance,False,Neu
737,illegal,True,Neg
738,week,False,Neu
739,farmers,False,Neu
740,required,False,Neu
741,procedures,False,Neu
742,across,False,Neu
743,borders,False,Neu
744,regulations,False,Neu
745,road,False,Neu
746,seems,False,Neu
747,recently,False,Neu
748,address,False,Neu
749,expressed,False,Neu
750,focus,False,Neu
751,2006,False,Neu
752,times,False,Neu
753,increased,True,Pos
754,throughout,False,Neu
755,task,False,Neu
756,meet,False,Neu
757,old,False,Neu
758,draw,False,Neu
759,previous,False,Neu
760,2005,False,Neu
761,instrument,False,Neu
762,keep,False,Neu
763,prepared,True,Pos
764,reached,True,Pos
765,raised,False,Neu
766,develop,False,Neu
767,show,False,Neu
768,monitoring,False,Neu
769,consequences,False,Neu
770,home,False,Neu
771,list,False,Neu
772,experience,False,Neu
773,initiatives,False,Neu
774,cost,False,Neu
775,fellow,False,Neu
776,movement,False,Neu
777,private,False,Neu
778,relating,False,Neu
779,mention,False,Neu
780,defence,True,Pos
781,2007,False,Neu
782,africa,False,Neu
783,four,False,Neu
784,doubt,True,Neg
785,demand,True,Neg
786,application,False,Neu
787,instruments,False,Neu
788,reading,False,Neu
789,request,False,Neu
790,face,False,Neu
791,rural,False,Neu
792,discrimination,False,Neu
793,implemented,False,Neu
794,3,False,Neu
795,nevertheless,False,Neu
796,criminal,True,Neg
797,reduce,False,Neu
798,ever,False,Neu
799,air,False,Neu
800,fair,True,Pos
801,effort,False,Neu
802,culture,False,Neu
803,review,False,Neu
804,creation,True,Pos
805,reality,False,Neu
806,agency,False,Neu
807,requirements,False,Neu
808,constitutional,False,Neu
809,conclusion,False,Neu
810,democrats,False,Neu
811,decided,False,Neu
812,reforms,False,Neu
813,training,False,Neu
814,writing,False,Neu
815,pressure,True,Neg
816,10,False,Neu
817,authority,True,Pos
818,job,False,Neu
819,levels,False,Neu
820,moreover,False,Neu
821,honourable,True,Pos
822,representatives,False,Neu
823,establish,False,Neu
824,partnership,False,Neu
825,live,False,Neu
826,talking,False,Neu
827,note,False,Neu
828,almost,False,Neu
829,tell,False,Neu
830,knowledge,False,Neu
831,cause,False,Neu
832,france,False,Neu
833,direction,False,Neu
834,established,False,Neu
835,practical,False,Neu
836,using,False,Neu
837,potential,False,Neu
838,talk,False,Neu
839,whose,False,Neu
840,behind,False,Neu
841,coming,False,Neu
842,partners,False,Neu
843,ministers,False,Neu
844,found,False,Neu
845,victims,True,Neg
846,away,False,Neu
847,paper,False,Neu
848,try,False,Neu
849,waste,True,Neg
850,model,False,Neu
851,capacity,False,Neu
852,reference,False,Neu
853,crime,True,Neg
854,implement,False,Neu
855,20,False,Neu
856,date,False,Neu
857,sea,False,Neu
858,included,False,Neu
859,light,False,Neu
860,took,False,Neu
861,events,False,Neu
862,challenges,True,Pos
863,brought,False,Neu
864,turn,False,Neu
865,amount,False,Neu
866,guidelines,False,Neu
867,follow,False,Neu
868,received,False,Neu
869,powers,False,Neu
870,completely,False,Neu
871,outside,False,Neu
872,enable,False,Neu
873,candidate,False,Neu
874,absolutely,False,Neu
875,mediterranean,False,Neu
876,bank,False,Neu
877,extent,False,Neu
878,heard,False,Neu
879,giving,True,Pos
880,assessment,False,Neu
881,vital,True,Pos
882,december,False,Neu
883,quickly,False,Neu
884,ten,False,Neu
885,developed,False,Neu
886,billion,False,Neu
887,sectors,False,Neu
888,remains,False,Neu
889,add,False,Neu
890,price,False,Neu
891,takes,False,Neu
892,wto,False,Neu
893,discussions,False,Neu
894,along,False,Neu
895,supported,True,Pos
896,scope,False,Neu
897,israel,False,Neu
898,family,False,Neu
899,half,False,Neu
900,oil,False,Neu
901,cross,False,Neu
902,competitiveness,False,Neu
903,relevant,False,Neu
904,document,False,Neu
905,natural,True,Pos
906,begin,False,Neu
907,french,False,Neu
908,treatment,False,Neu
909,effects,False,Neu
910,days,False,Neu
911,precisely,False,Neu
912,unacceptable,True,Neg
913,south,False,Neu
914,discussed,False,Neu
915,direct,False,Neu
916,approved,True,Pos
917,offer,False,Neu
918,applied,False,Neu
919,creating,True,Pos
920,care,True,Pos
921,possibility,False,Neu
922,expect,False,Neu
923,technology,False,Neu
924,june,False,Neu
925,encourage,True,Pos
926,15,False,Neu
927,connection,False,Neu
928,coordination,False,Neu
929,brussels,False,Neu
930,british,False,Neu
931,living,False,Neu
932,forces,False,Neu
933,businesses,False,Neu
934,considered,False,Neu
935,additional,False,Neu
936,six,False,Neu
937,12,False,Neu
938,message,False,Neu
939,charter,False,Neu
940,confidence,True,Pos
941,emissions,False,Neu
942,25,False,Neu
943,discuss,False,Neu
944,proper,False,Neu
945,prime,False,Neu
946,speaking,False,Neu
947,stop,True,Neg
948,stand,False,Neu
949,stated,False,Neu
950,propose,False,Neu
951,palestinian,False,Neu
952,men,False,Neu
953,accordance,False,Neu
954,regime,False,Neu
955,active,True,Pos
956,ensuring,True,Pos
957,equality,False,Neu
958,challenge,True,Pos
959,side,False,Neu
960,known,False,Neu
961,carry,False,Neu
962,conclusions,False,Neu
963,status,False,Neu
964,republic,False,Neu
965,overall,False,Neu
966,circumstances,False,Neu
967,humanitarian,False,Neu
968,package,False,Neu
969,effectively,True,Pos
970,huge,True,Pos
971,media,False,Neu
972,speech,False,Neu
973,motion,False,Neu
974,prices,False,Neu
975,specifically,False,Neu
976,liberalisation,False,Neu
977,medium,False,Neu
978,reduction,False,Neu
979,trying,False,Neu
980,strengthen,True,Pos
981,middle,False,Neu
982,ireland,False,Neu
983,perspective,False,Neu
984,committed,True,Pos
985,germany,False,Neu
986,comments,False,Neu
987,5,False,Neu
988,affected,True,Neg
989,lot,False,Neu
990,plans,False,Neu
991,goes,False,Neu
992,personal,False,Neu
993,obviously,False,Neu
994,poor,True,Neg
995,provision,False,Neu
996,referred,False,Neu
997,history,False,Neu
998,implementing,False,Neu
999,police,False,Neu
1000,considerable,False,Neu
1001,asylum,False,Neu
1002,11,False,Neu
1003,independent,False,Neu
1004,successful,True,Pos
1005,avoid,True,Neg
1006,lives,False,Neu
1007,views,False,Neu
1008,rate,False,Neu
1009,minutes,False,Neu
1010,benefits,True,Pos
1011,content,False,Neu
1012,improving,True,Pos
1013,accepted,True,Pos
1014,participation,False,Neu
1015,administrative,False,Neu
1016,hard,True,Neg
1017,september,False,Neu
1018,purpose,False,Neu
1019,paragraph,False,Neu
1020,looking,False,Neu
1021,allowed,False,Neu
1022,total,False,Neu
1023,solutions,True,Pos
1024,death,True,Neg
1025,difficulties,True,Neg
1026,self,False,Neu
1027,dealing,False,Neu
1028,anti,True,Neg
1029,yesterday,False,Neu
1030,forms,False,Neu
1031,rightly,False,Neu
1032,emphasise,False,Neu
1033,combat,True,Neg
1034,stress,True,Neg
1035,4,False,Neu
1036,goods,False,Neu
1037,consideration,False,Neu
1038,supply,False,Neu
1039,contribute,False,Neu
1040,seriously,True,Neg
1041,beginning,False,Neu
1042,event,False,Neu
1043,promoting,True,Pos
1044,ways,False,Neu
1045,commitments,True,Pos
1046,per,False,Neu
1047,adoption,False,Neu
1048,anything,False,Neu
1049,prevention,False,Neu
1050,recognise,False,Neu
1051,innovation,True,Pos
1052,beyond,False,Neu
1053,return,False,Neu
1054,scientific,False,Neu
1055,globalisation,False,Neu
1056,aimed,False,Neu
1057,closely,False,Neu
1058,strategic,False,Neu
1059,competitive,True,Pos
1060,europeans,False,Neu
1061,wanted,False,Neu
1062,created,True,Pos
1063,sitting,False,Neu
1064,demands,False,Neu
1065,pact,False,Neu
1066,related,False,Neu
1067,genuine,False,Neu
1068,delegation,False,Neu
1069,myself,False,Neu
1070,provides,False,Neu
1071,minimum,False,Neu
1072,sometimes,False,Neu
1073,highly,False,Neu
1074,setting,False,Neu
1075,language,False,Neu
1076,directly,False,Neu
1077,sufficient,False,Neu
1078,alone,True,Neg
1079,ban,True,Neg
1080,outcome,False,Neu
1081,shown,False,Neu
1082,threat,True,Neg
1083,animal,False,Neu
1084,providing,False,Neu
1085,annual,False,Neu
1086,complete,False,Neu
1087,remind,False,Neu
1088,decide,False,Neu
1089,steps,False,Neu
1090,join,True,Pos
1091,balanced,False,Neu
1092,intended,False,Neu
1093,requires,False,Neu
1094,urgent,True,Pos
1095,receive,False,Neu
1096,urge,False,Neu
1097,led,False,Neu
1098,happen,False,Neu
1099,dimension,False,Neu
1100,calls,False,Neu
1101,monetary,False,Neu
1102,building,False,Neu
1103,broad,False,Neu
1104,produce,False,Neu
1105,institutional,False,Neu
1106,activity,False,Neu
1107,aspect,False,Neu
1108,january,False,Neu
1109,1999,False,Neu
1110,declaration,False,Neu
1111,duty,False,Neu
1112,refer,False,Neu
1113,spanish,False,Neu
1114,paid,False,Neu
1115,consensus,False,Neu
1116,risks,True,Neg
1117,organised,False,Neu
1118,colleague,False,Neu
1119,whom,False,Neu
1120,type,False,Neu
1121,capital,False,Neu
1122,efficiency,True,Pos
1123,wrong,True,Neg
1124,achieving,False,Neu
1125,measure,False,Neu
1126,properly,False,Neu
1127,product,False,Neu
1128,american,False,Neu
1129,developments,False,Neu
1130,early,False,Neu
1131,opposition,False,Neu
1132,sort,False,Neu
1133,limited,True,Neg
1134,bodies,False,Neu
1135,contrary,False,Neu
1136,efficient,True,Pos
1137,higher,False,Neu
1138,produced,False,Neu
1139,establishing,False,Neu
1140,meps,False,Neu
1141,regret,True,Neg
1142,documents,False,Neu
1143,later,False,Neu
1144,leave,True,Neg
1145,directives,False,Neu
1146,entire,False,Neu
1147,spain,False,Neu
1148,low,True,Neg
1149,respond,False,Neu
1150,exist,False,Neu
1151,kosovo,False,Neu
1152,study,False,Neu
1153,similar,False,Neu
1154,german,False,Neu
1155,conclude,False,Neu
1156,convinced,True,Pos
1157,enterprises,False,Neu
1158,discussing,False,Neu
1159,statements,False,Neu
1160,opening,False,Neu
1161,america,False,Neu
1162,scale,False,Neu
1163,comment,False,Neu
1164,session,False,Neu
1165,damage,True,Neg
1166,earlier,False,Neu
1167,manner,False,Neu
1168,uk,False,Neu
1169,acceptable,True,Pos
1170,gives,False,Neu
1171,treaties,False,Neu
1172,parliaments,False,Neu
1173,combating,False,Neu
1174,maintain,False,Neu
1175,increasingly,False,Neu
1176,calling,False,Neu
1177,march,False,Neu
1178,pointed,False,Neu
1179,word,False,Neu
1180,thought,False,Neu
1181,name,False,Neu
1182,wants,False,Neu
1183,analysis,False,Neu
1184,require,False,Neu
1185,weapons,True,Neg
1186,animals,False,Neu
1187,ambitious,True,Pos
1188,former,False,Neu
1189,staff,False,Neu
1190,north,False,Neu
1191,30,False,Neu
1192,flexibility,True,Pos
1193,remember,False,Neu
1194,supporting,True,Pos
1195,dangerous,True,Neg
1196,exchange,False,Neu
1197,happened,False,Neu
1198,weeks,False,Neu
1199,expenditure,False,Neu
1200,hear,False,Neu
1201,hold,False,Neu
1202,terrorist,True,Neg
1203,entirely,False,Neu
1204,useful,True,Pos
1205,parts,False,Neu
1206,network,False,Neu
1207,rapporteurs,False,Neu
1208,industrial,False,Neu
1209,financing,False,Neu
1210,spirit,True,Pos
1211,whilst,False,Neu
1212,50,False,Neu
1213,addressed,False,Neu
1214,laws,False,Neu
1215,improved,True,Pos
1216,limit,False,Neu
1217,represent,False,Neu
1218,debates,False,Neu
1219,representative,False,Neu
1220,else,False,Neu
1221,added,False,Neu
1222,shows,False,Neu
1223,iran,False,Neu
1224,origin,False,Neu
1225,press,False,Neu
1226,becoming,False,Neu
1227,yes,True,Pos
1228,failure,True,Neg
1229,probably,False,Neu
1230,concept,False,Neu
1231,irish,False,Neu
1232,board,False,Neu
1233,gender,False,Neu
1234,elements,False,Neu
1235,recognition,False,Neu
1236,tourism,False,Neu
1237,company,False,Neu
1238,rise,False,Neu
1239,association,False,Neu
1240,budgets,False,Neu
1241,thirdly,False,Neu
1242,otherwise,False,Neu
1243,turkish,False,Neu
1244,laid,False,Neu
1245,constructive,False,Neu
1246,caused,False,Neu
1247,applies,False,Neu
1248,networks,False,Neu
1249,fr,False,Neu
1250,definition,False,Neu
1251,big,False,Neu
1252,cut,True,Neg
1253,green,False,Neu
1254,6,False,Neu
