,german_tokens,translated_english_tokens,is_polarize,polarity
113,mir,mir,False,Neu
114,besser,Better,False,Neu
115,ihr,you are giving,False,Neu
116,liebt,liebt,False,Neu
117,comfortable,comfortable,True,Pos
118,meiner,meiner,False,Neu
119,im,in,False,Neu
120,very,very,False,Neu
121,...,...,False,Neu
122,preis,- prize,False,Neu
123,hervorragend,hervorragend,False,Neu
124,oder,or,False,Neu
125,je,je,False,Neu
126,mehr,more,False,Neu
127,gelesen,read,False,Neu
128,/,/,False,Neu
129,bücher,books,False,Neu
130,mag,mag,False,Neu
131,großes,large,False,Neu
132,wunderbar,wonderful,False,Neu
133,genießen,Enjoy,False,Neu
134,sehen,see,False,Neu
135,ziemlich,fairly,False,Neu
136,alles,all,False,Neu
137,großartiges,groÃartiges,False,Neu
138,liebte,liebte,False,Neu
139,nach,according to,False,Neu
140,jeden,jeden,False,Neu
141,gemacht,made available,False,Neu
142,absolut,Absolute,False,Neu
143,arbeit,work,False,Neu
144,schöne,schÃ¶ne,False,Neu
145,seine,Its,False,Neu
146,serie,serie,False,Neu
147,muss,Must,False,Neu
148,wurde,has been:,False,Neu
149,du,you are not telling,False,Neu
150,eines,of,False,Neu
151,guter,Good,False,Neu
152,sagen,say,False,Neu
153,viele,many,False,Neu
154,best,best,True,Pos
155,jeder,each,False,Neu
156,definitiv,Definitely,False,Neu
157,großartige,groÃartige,False,Neu
158,großen,groÃen,False,Neu
159,jahre,years,False,Neu
160,spiel,game,False,Neu
161,waren,were:,False,Neu
162,dvd,dvd,False,Neu
163,man,man,False,Neu
164,können,can:,False,Neu
165,lustig,funny,False,Neu
166,bekommen,get,False,Neu
167,fan,fan,True,Pos
168,genossen,genossen,False,Neu
169,geschenk,gift,False,Neu
170,glücklich,Happy,False,Neu
171,ihn,him,False,Neu
172,kinder,kinder,True,Pos
173,machen,Make,False,Neu
174,awesome,awesome,True,Pos
175,..,..,False,Neu
176,guten,Good,False,Neu
177,i,i,False,Neu
178,zeit,years,False,Neu
179,gesehen,Seen,False,Neu
180,erstaunlich,- astonishment,False,Neu
181,filme,Films,False,Neu
182,geschrieben,Written,False,Neu
183,songs,songs,False,Neu
184,wert,Value,False,Neu
185,würde,will,False,Neu
186,hatte,had it seen off?,False,Neu
187,2,2,False,Neu
188,einige,some,False,Neu
189,jetzt,now:,False,Neu
190,kaufen,kaufen,False,Neu
191,andere,Other,False,Neu
192,bei,on,False,Neu
193,leicht,easy,False,Neu
194,meinem,meinem,False,Neu
195,denke,denke,False,Neu
196,love,love,True,Pos
197,a,a,False,Neu
198,am,am,False,Neu
199,ihnen,Them,False,Neu
200,5,5,False,Neu
201,sicher,sicher,False,Neu
202,weil,because :,False,Neu
203,überhaupt,Ã¼berhaupt,False,Neu
204,amazon,amazon,True,Pos
205,roman,roman,False,Neu
206,gibt,there is,False,Neu
207,meinen,meinen,False,Neu
208,super,Super,True,Pos
209,leben,leben,False,Neu
210,wow,wow,True,Pos
211,zufrieden,Satisfied,False,Neu
212,anderen,others,False,Neu
213,art,art,False,Neu
214,gekauft,Bought,False,Neu
215,jedem,each,False,Neu
216,stimme,voice,False,Neu
217,allen,allen,False,Neu
218,bis,Until,False,Neu
219,song,song,False,Neu
220,4,4,False,Neu
221,geliebt,Loved,False,Neu
222,gerne,gerne,False,Neu
223,ha,Ha,True,Pos
224,jahren,years,False,Neu
225,kauf,Purchase,False,Neu
226,lieder,lieder,False,Neu
227,vielen,many,False,Neu
228,wieder,again,False,Neu
229,qualität,Quality,False,Neu
230,zwei,2,False,Neu
231,da,DA,False,Neu
232,erste,first,False,Neu
233,vor,to,False,Neu
234,3,3,False,Neu
235,aller,aller,False,Neu
236,ever,ever,False,Neu
237,familie,familia,False,Neu
238,gehen,Go,False,Neu
239,insgesamt,Total,False,Neu
240,spielen,play,False,Neu
241,spielzeug,toys,False,Neu
242,ende,end,False,Neu
243,ihrer,of which:,False,Neu
244,movie,German films,False,Neu
245,ausgezeichnete,Excellent,False,Neu
246,großartiger,groÃartiger,False,Neu
247,hier,here,False,Neu
248,nun,now,False,Neu
249,schnell,Fast,False,Neu
250,ausgezeichnet,Awarded,False,Neu
251,band,Band,False,Neu
252,etwas,something,False,Neu
253,freund,freund,False,Neu
254,of,of,False,Neu
255,sieht,sees,False,Neu
256,t,t,False,Neu
257,?,?,False,Neu
258,also,i.e.,False,Neu
259,dank,Thanks,False,Neu
260,freunde,Friends,False,Neu
261,kaufte,- bought,False,Neu
262,lachen,laughter,False,Neu
263,mal,mal,False,Neu
264,paar,paar,False,Neu
265,show,show,False,Neu
266,wenig,Little,False,Neu
267,all,all,False,Neu
268,dann,then,False,Neu
269,hören,Listening,False,Neu
270,jemals,ever,False,Neu
271,to,to,False,Neu
272,wollen,want,False,Neu
273,wäre,would,False,Neu
274,ersten,First,False,Neu
275,frau,frau,False,Neu
276,größten,largest,False,Neu
277,jedes,each,False,Neu
278,mann,mann,False,Neu
279,meisterwerk,meisterwerk,False,Neu
280,neue,new,False,Neu
281,nie,nie,False,Neu
282,selbst,itself,False,Neu
283,ve,ve,False,Neu
284,empfehlen,recommend,False,Neu
285,gehört,belongs,False,Neu
286,geld,Money,False,Neu
287,it,it,False,Neu
288,sammlung,collection,False,Neu
289,schon,Already,False,Neu
290,toller,toller,False,Neu
291,unglaublich,unglaublich,False,Neu
292,uns,Us,False,Neu
293,unterhaltsam,entertaining,False,Neu
294,welt,world,False,Neu
295,zeiten,Times,False,Neu
296,finden,Find,False,Neu
297,froh,glad,False,Neu
298,ihren,their,False,Neu
299,is,is,False,Neu
300,schönes,schÃ¶nes,False,Neu
301,seit,since,False,Neu
302,allem,allem,False,Neu
303,detail,detail,False,Neu
304,groß,large,False,Neu
305,kind,kind,True,Pos
306,konnte,konnte,False,Neu
307,lied,lied,True,Neg
308,....,....,False,Neu
309,besonders,Specifically:,False,Neu
310,ganz,Whole fish,False,Neu
311,großartigen,groÃartigen,False,Neu
312,ihm,it,False,Neu
313,ja,Yes,False,Neu
314,tochter,Daughter,False,Neu
315,wunderbarer,Miraculous,False,Neu
316,1,1,False,Neu
317,bilder,Pictures,False,Neu
318,fast,fast,False,Neu
319,ganze,Whole,False,Neu
320,geht,geht,False,Neu
321,klassiker,Classics,False,Neu
322,komödie,comedy,False,Neu
323,teil,part,False,Neu
324,benutzen,use,False,Neu
325,dachte,thought,False,Neu
326,durch,by :,False,Neu
327,fall,fall,False,Neu
328,fantastisch,fantastic,False,Neu
329,leute,people,False,Neu
330,mochte,mochte,False,Neu
331,obwohl,although:,False,Neu
332,sohn,sohn,False,Neu
333,sound,sound,False,Neu
334,weise,wise,False,Neu
335,$,$,False,Neu
336,arbeiten,Working,False,Neu
337,freude,freude,False,Neu
338,größte,greatest,False,Neu
339,heute,Today,False,Neu
340,hoffe,Hopes,False,Neu
341,menge,quota,False,Neu
342,menschen,people,False,Neu
343,seinen,its,False,Neu
344,story,story,False,Neu
345,this,this,False,Neu
346,will,will,False,Neu
347,zusammen,together,False,Neu
348,10,AD 10,False,Neu
349,abenteuer,adventure,False,Neu
350,ansonsten,Otherwise:,False,Neu
351,humor,Humour,True,Pos
352,kleine,kleine,False,Neu
353,lange,Long,False,Neu
354,ohne,Without,False,Neu
355,schreiben,writing,False,Neu
356,seiner,its,False,Neu
357,weit,far,False,Neu
358,ausgezeichnetes,excellent,False,Neu
359,bild,picture,False,Neu
360,good,good,True,Pos
361,keine,None,False,Neu
362,kleinen,small,False,Neu
363,nice,nice,True,Pos
364,trotzdem,"Nonetheless,",False,Neu
365,tun,tun,False,Neu
366,weg,weg,False,Neu
367,weiß,white,False,Neu
368,zustand,Condition,False,Neu
369,action,action,False,Neu
370,alben,alben,False,Neu
371,alte,alte,False,Neu
372,angenehm,Pleasant,False,Neu
373,bedienen,and,False,Neu
374,beeindruckend,impressive,False,Neu
375,bisher,so far,False,Neu
376,charaktere,Characters,False,Neu
377,drei,Three,False,Neu
378,favoriten,favoriten,False,Neu
379,jede,each,False,Neu
380,kein,None,False,Neu
381,kommt,comes,False,Neu
382,lohnt,is worth,False,Neu
383,meisten,Most,False,Neu
384,passt,passt,False,Neu
385,quotes,quotes,False,Neu
386,ray,ray,False,Neu
387,rock,rock,False,Neu
388,während,during,False,Neu
389,beide,both,False,Neu
390,einmal,once,False,Neu
391,erhalten,get,False,Neu
392,genau,Exactly,False,Neu
393,hand,hand,True,Pos
394,ihrem,her,False,Neu
395,music,music,False,Neu
396,my,my,False,Neu
397,read,read,False,Neu
398,seite,Page,False,Neu
399,sollte,should,False,Neu
400,version,version,False,Neu
401,voller,Full,False,Neu
402,wunderschön,Beautiful,False,Neu
403,überrascht,surprise,False,Neu
404,alter,alter,False,Neu
405,autor,author,False,Neu
406,bisschen,bisschen,False,Neu
407,form,form,False,Neu
408,glaube,believe,False,Neu
409,jedoch,"However,",False,Neu
410,klingt,Sounds,False,Neu
411,natürlich,"of course,",False,Neu
412,neuen,new,False,Neu
413,wirst,will,False,Neu
414,wunderbare,Miraculous,False,Neu
415,wunderschönes,Beautiful,False,Neu
416,fand,fand,False,Neu
417,fun,fun,True,Pos
418,gerade,just,False,Neu
419,gott,gott,False,Neu
420,halten,Keeping,False,Neu
421,hätte,hÃ¤tte,False,Neu
422,interessant,Interesting,False,Neu
423,jahreszeit,season,False,Neu
424,kam,kam,False,Neu
425,kamera,kamera,False,Neu
426,lage,situation,False,Neu
427,m,M,False,Neu
428,mädchen,Girls,False,Neu
429,romantik,Romance,False,Neu
430,spannend,Exciting,False,Neu
431,tag,tag,False,Neu
432,texte,Text,False,Neu
433,unter,at,False,Neu
434,vertrauen,trust,False,Neu
435,wünschte,Wish,False,Neu
436,alten,alten,False,Neu
437,amazing,amazing,True,Pos
438,blu,Blu,False,Neu
439,buches,buches,False,Neu
440,eigentlich,actually,False,Neu
441,ganzen,Whole,False,Neu
442,helden,Heroes,False,Neu
443,klar,klar,False,Neu
444,könnte,could:,False,Neu
445,lustige,lustige,False,Neu
446,möchte,would like to:,False,Neu
447,niedlich,cute,False,Neu
448,prima,prima,False,Neu
449,schönen,beautiful,False,Neu
450,sollten,should:,False,Neu
451,verwendet,used,False,Neu
452,wahre,True,False,Neu
453,zeigt,shows,False,Neu
454,beiden,both,False,Neu
455,book,Book,False,Neu
456,fantastische,fantastische,False,Neu
457,finde,Find,False,Neu
458,geben,giving,False,Neu
459,gefühl,feeling,False,Neu
460,genauso,"Likewise,",False,Neu
461,helfen,Helping,False,Neu
462,interessiert,interested in:,False,Neu
463,kommen,come,False,Neu
464,mögen,like,False,Neu
465,passen,fit,False,Neu
466,perfekte,perfekte,False,Neu
467,person,People,False,Neu
468,scheint,Apparently,False,Neu
469,stark,Strong,False,Neu
470,stück,stÃ¼ck,False,Neu
471,talent,talent,True,Pos
472,tasche,Bag,False,Neu
473,uhr,Clock,False,Neu
474,video,Video,False,Neu
475,wer,Who?,False,Neu
476,werde,will,False,Neu
477,anfang,beginning,False,Neu
478,cool,cool,True,Pos
479,daran,To,False,Neu
480,eigenen,Own,False,Neu
481,einfache,Simple,False,Neu
482,favorite,favorite,True,Pos
483,gefunden,Found,False,Neu
484,genug,Enough,False,Neu
485,hatten,had,False,Neu
486,junge,Young,False,Neu
487,seinem,its,False,Neu
488,top,top,True,Pos
489,wahrscheinlich,probably,False,Neu
490,ausgezeichneter,excellent,False,Neu
491,beeindruckt,impressed,False,Neu
492,bestes,for the best,False,Neu
493,bist,bist,False,Neu
494,charakter,Character,False,Neu
495,davon,including,False,Neu
496,diejenigen,ones,False,Neu
497,einfacher,simple,False,Neu
498,ergänzung,additional information,False,Neu
499,fühle,Feel,False,Neu
500,fühlt,fÃ¼hlt,False,Neu
501,gesagt,said,False,Neu
502,geschichten,stories,False,Neu
503,illustrationen,Illustrations,False,Neu
504,jungen,Boys,False,Neu
505,jungs,jungs,False,Neu
506,lese,reading,False,Neu
507,leser,Readers,False,Neu
508,liebesgeschichte,love story,False,Neu
509,müssen,must,False,Neu
510,ob,ob,False,Neu
511,ok,ok,True,Pos
512,ort,ort,False,Neu
513,reinigen,Cleaning,False,Neu
514,sache,sache,False,Neu
515,schwer,difficult,False,Neu
516,set,set,False,Neu
517,sicherlich,certainly,False,Neu
518,small,small,False,Neu
519,sogar,even,False,Neu
520,spass,spass,False,Neu
521,vielleicht,perhaps,False,Neu
522,wahrlich,wahrlich,False,Neu
523,warum,Why?,False,Neu
524,wunderbaren,wunderbaren,False,Neu
525,würden,would,False,Neu
526,8,AD 8,False,Neu
527,=,=,False,Neu
528,abstand,distance,False,Neu
529,baby,Baby,False,Neu
530,dinge,dinge,False,Neu
531,don,don,False,Neu
532,excellent,excellent,True,Pos
533,freunden,freunden,False,Neu
534,genieße,genieÃe,False,Neu
535,gespielt,played,False,Neu
536,hervorragende,hervorragende,False,Neu
537,herz,herz,False,Neu
538,hilfreich,helpful,False,Neu
539,hält,Keeps,False,Neu
540,interessante,Interesting,False,Neu
541,lektüre,reading,False,Neu
542,live,live,False,Neu
543,oft,often,False,Neu
544,perfektes,Perfect,False,Neu
545,recht,right,False,Neu
546,saison,Season,False,Neu
547,sowohl,both,False,Neu
548,time,time,False,Neu
549,unsere,Our,False,Neu
550,ware,ware,False,Neu
551,warten,Waiting,False,Neu
552,weitem,weitem,False,Neu
553,wissen,Know,False,Neu
554,ab,ab,False,Neu
555,alt,old,False,Neu
556,arbeitet,works,False,Neu
557,beim,The,False,Neu
558,benutzt,used,False,Neu
559,bestellt,ordered,False,Neu
560,bester,bester,False,Neu
561,bietet,provides:,False,Neu
562,bitte,please,False,Neu
563,cds,cds,False,Neu
564,denken,thinking,False,Neu
565,draußen,drauÃen,False,Neu
566,eltern,eltern,False,Neu
567,fans,fans,False,Neu
568,favorit,favorite,False,Neu
569,for,for,False,Neu
570,gefällt,gefÃ¤llt,False,Neu
571,geschäft,business,False,Neu
572,have,have,False,Neu
573,hervorragendes,excellent,False,Neu
574,ideal,ideal,True,Pos
575,inspiration,inspiration,True,Pos
576,inspiriert,Inspired,False,Neu
577,jahr,year,False,Neu
578,kleiner,smaller,False,Neu
579,lassen,Let,False,Neu
580,meinung,Opinion,False,Neu
581,sachen,Background,False,Neu
582,sauber,Clean,False,Neu
583,singen,singing,False,Neu
584,soundtrack,soundtrack,False,Neu
585,spannung,spannung,False,Neu
586,sterne,sterne,False,Neu
587,stil,style,False,Neu
588,unser,Our,False,Neu
589,versand,Shipping,False,Neu
590,weiterer,Other,False,Neu
591,wo,where:,False,Neu
592,wunderbares,- wunderbares,False,Neu
593,>,>,False,Neu
594,aufnahme,Recording,False,Neu
595,auswahl,- selection,False,Neu
596,begeistert,begeistert,False,Neu
597,drama,drama,False,Neu
598,echter,- real,False,Neu
599,ehrlich,honest,False,Neu
600,einkauf,shopping,False,Neu
601,enthält,contains,False,Neu
602,erfreut,erfreut,False,Neu
603,films,films,False,Neu
604,fühlen,Feeling,False,Neu
605,grund,Background,False,Neu
606,größe,Size,False,Neu
607,hinsicht,With regard to:,False,Neu
608,informationen,Information,False,Neu
609,john,john,False,Neu
610,möglich,possible,False,Neu
611,nette,nette,False,Neu
612,one,one,False,Neu
613,sei,sei,False,Neu
614,spielt,it plays,False,Neu
615,süß,sweet,False,Neu
616,tastatur,Keyboard,False,Neu
617,unbedingt,Absolutely,False,Neu
618,vergnügen,pleasure,False,Neu
619,versucht,versucht,False,Neu
620,verwenden,using,False,Neu
621,wahr,True,False,Neu
622,weniger,less,False,Neu
623,wollte,wollte,False,Neu
624,wunderschöne,wunderschÃ¶ne,False,Neu
625,you,you,False,Neu
626,20,20,False,Neu
627,9,9,False,Neu
628,<,<,False,Neu
629,beobachten,observe,False,Neu
630,bleibt,remains,False,Neu
631,bringen,bring forward,False,Neu
632,büchern,books,False,Neu
633,d,d,False,Neu
634,damit,thus,False,Neu
635,darüber,and,False,Neu
636,echten,echten,False,Neu
637,einigen,some,False,Neu
638,energie,energy,False,Neu
639,erstaunliche,Amazing,False,Neu
640,erstaunliches,Amazing,False,Neu
641,exzellente,exzellente,False,Neu
642,fantastisches,fantastisches,False,Neu
643,flick,flick,False,Neu
644,folgen,Next steps,False,Neu
645,gegeben,given,False,Neu
646,genoss,genoss,False,Neu
647,getan,done,False,Neu
648,glänzend,glossy,False,Neu
649,gruppe,group,False,Neu
650,handeln,trade,False,Neu
651,hause,hause,False,Neu
652,herum,around,False,Neu
653,herzen,herzen,False,Neu
654,installieren,install,False,Neu
655,interesse,Interest,False,Neu
656,jeff,jeff,False,Neu
657,job,job,False,Neu
658,kaufe,Buy,False,Neu
659,lang,lang,False,Neu
660,lernen,Learning,False,Neu
661,letzten,final,False,Neu
662,liebhaber,lovers,False,Neu
663,like,like,True,Pos
664,original,original,True,Pos
665,re,re,False,Neu
666,reihe,reihe,False,Neu
667,richtig,richtig,False,Neu
668,sagt,says,False,Neu
669,sah,sah,False,Neu
670,service,service,False,Neu
671,spiele,games,False,Neu
672,stimmen,stimmen,False,Neu
673,sänger,Singers,False,Neu
674,teile,parts,False,Neu
675,text,text,False,Neu
676,thema,theme,False,Neu
677,unk,unk,False,Neu
678,verliebt,verliebt,False,Neu
679,wasser,Water,False,Neu
680,weihnachten,Christmas,False,Neu
681,yoga,yoga,False,Neu
682,zurück,back to:,False,Neu
683,zwischen,between,False,Neu
684,überraschung,surprise,False,Neu
685,*,*,False,Neu
686,--,--,False,Neu
687,artikel,article,False,Neu
688,aussehen,Look,False,Neu
689,b,b,False,Neu
690,bekam,got,False,Neu
691,bequem,Comfy,False,Neu
692,besetzung,Occupation,False,Neu
693,bringt,brings,False,Neu
694,britney,britney,False,Neu
695,dazu,on this point,False,Neu
696,details,details,False,Neu
697,dich,dich,False,Neu
698,duft,Scent,False,Neu
699,dunham,dunham,False,Neu
700,endlich,endlich,False,Neu
701,erfolg,success,False,Neu
702,extras,extras,False,Neu
703,fabelhaft,fabulous,False,Neu
704,farben,farben,False,Neu
705,fotos,photos,False,Neu
706,freuen,freuen,False,Neu
707,frisch,fresh,False,Neu
708,funktionieren,For example:,False,Neu
709,geheimnis,Secret,False,Neu
710,george,George,False,Neu
711,geschmack,taste,False,Neu
712,glauben,Believe,False,Neu
713,grundstück,Land plot,False,Neu
714,haus,- house,False,Neu
715,hilfe,Assistance,False,Neu
716,james,james,False,Neu
717,jones,jones,False,Neu
718,kindern,kindern,False,Neu
719,kleines,kleines,False,Neu
720,komfortabel,Comfort,False,Neu
721,kopf,kopf,False,Neu
722,lieblingsfilm,favourite films,False,Neu
723,lieferung,delivery,False,Neu
724,line,line,False,Neu
725,me,me,False,Neu
726,mischung,mixing,False,Neu
727,mutter,mother,False,Neu
728,nehmen,take,False,Neu
729,neues,New,False,Neu
730,on,on,False,Neu
731,preise,Price Regime,False,Neu
732,produkte,products,False,Neu
733,produktion,production,False,Neu
734,r,r,False,Neu
735,reise,travel,False,Neu
736,review,review,False,Neu
737,rezepte,Recipes,False,Neu
738,rolle,Roll,False,Neu
739,sagte,said,False,Neu
740,schauspieler,actors,False,Neu
741,schlimm,schlimm,False,Neu
742,schnelle,Swift,False,Neu
743,schriftsteller,21st-century writers,False,Neu
744,schöner,schÃ¶ner,False,Neu
745,setzen,and,False,Neu
746,sexy,Sexy,True,Pos
747,soll,aims to:,False,Neu
748,suchen,Search,False,Neu
749,suchte,suchte,False,Neu
750,system,system,False,Neu
751,tanzen,Dance,False,Neu
752,themen,Themes,False,Neu
753,unterstützung,Support,False,Neu
754,versuchen,versuchen,False,Neu
755,verwende,using,False,Neu
756,weitere,further details,False,Neu
757,weiteres,Other,False,Neu
758,worte,worte,False,Neu
759,wunder,miracles,False,Neu
760,wurden,were:,False,Neu
761,zeigen,show,False,Neu
762,zur,- On the .,False,Neu
763,zweite,second,False,Neu
764,überraschend,surprising,False,Neu
765,6,AD 6,False,Neu
766,7,7,False,Neu
767,anweisungen,Instructions,False,Neu
768,bekommt,gets,False,Neu
769,bewegen,- Moving,False,Neu
770,brown,brown,False,Neu
771,bye,bye,False,Neu
772,chance,chance,True,Pos
773,city,city,False,Neu
774,cute,cute,True,Pos
775,dabei,involved,False,Neu
776,darauf,It:,False,Neu
777,dauerte,took,False,Neu
778,design,design,False,Neu
779,diana,diana,False,Neu
780,einzige,Single,False,Neu
781,eisen,eisen,False,Neu
782,enttäuscht,Disappointed,False,Neu
783,erwartet,Expected,False,Neu
784,euch,euch,False,Neu
785,extrem,extreme,False,Neu
786,fernsehen,Television,False,Neu
787,fragen,Austria:,False,Neu
788,freue,rejoice,False,Neu
789,freundlich,-friendly,False,Neu
790,freut,pleased,False,Neu
791,führer,fÃ¼hrer,False,Neu
792,gab,Gad,False,Neu
793,geeignet,Suitable,False,Neu
794,gefallen,fallen,False,Neu
795,gesicht,face,False,Neu
796,glück,glÃ¼ck,False,Neu
797,gotta,gotta,False,Neu
798,greatest,greatest,True,Pos
799,hervorragender,excellent,False,Neu
800,himmel,himmel,False,Neu
801,hinter,behind,False,Neu
802,hotel,hotel,False,Neu
803,indem,by,False,Neu
804,inspirierend,Inspiring,False,Neu
805,katzen,Cats,False,Neu
806,klingen,klingen,False,Neu
807,kopie,Copy,False,Neu
808,künstler,Artists,False,Neu
809,la,la,False,Neu
810,lacht,Laughing,False,Neu
811,lebens,life,False,Neu
812,leistung,performance,False,Neu
813,letzte,final,False,Neu
814,lustiger,Funny,False,Neu
815,lächeln,Smile,False,Neu
816,made,Made,False,Neu
817,melodien,melody,False,Neu
818,minuten,minutes,False,Neu
819,musste,had to,False,Neu
820,männer,mÃ¤nner,False,Neu
821,neu,new,False,Neu
822,nächsten,Next,False,Neu
823,perfekten,Perfect,False,Neu
824,personal,personal,False,Neu
825,rest,rest,False,Neu
826,riecht,smells,False,Neu
827,robust,robust,True,Pos
828,schauen,See,False,Neu
829,schließlich,"Lastly,",False,Neu
830,schneller,faster,False,Neu
831,solide,Solid,False,Neu
832,sondern,but,False,Neu
833,sprache,language,False,Neu
834,starke,starke,False,Neu
835,stunden,hours,False,Neu
836,talentiert,talented,False,Neu
837,tat,tat,False,Neu
838,teilen,See also,False,Neu
839,titel,Title,False,Neu
840,tragen,wear,False,Neu
841,traum,traum,False,Neu
842,u,Commission:,False,Neu
843,unserer,Our proposal:,False,Neu
844,verbessert,Improved,False,Neu
845,verliebte,verliebte,False,Neu
846,verschiedenen,Various,False,Neu
847,voll,Full,False,Neu
848,weich,weich,False,Neu
849,wundervolles,wonderful,False,Neu
850,wusste,knew,False,Neu
851,zeichen,Sign,False,Neu
852,#,#History,False,Neu
853,albums,albums,False,Neu
854,altersgruppen,age groups,False,Neu
855,anders,anders,False,Neu
856,anfänger,beginners,False,Neu
857,angekommen,arrived,False,Neu
858,anime,anime,False,Neu
859,bald,bald,False,Neu
860,bands,bands,False,Neu
861,beat,beat,False,Neu
862,beautiful,beautiful,True,Pos
863,besseren,besseren,False,Neu
864,bestellen,Order,False,Neu
865,bibel,bibel,False,Neu
866,bonus,bonus,True,Pos
867,box,Box,False,Neu
868,brauchen,- need,False,Neu
869,brilliant,brilliant,True,Pos
870,but,but,False,Neu
871,classic,classic,False,Neu
872,cover,cover,False,Neu
873,dritte,Third,False,Neu
874,easy,easy,True,Pos
875,ebenfalls,also,False,Neu
876,einheit,Unit,False,Neu
877,erinnert,Recalling,False,Neu
878,erster,erster,False,Neu
879,etc.,etc.,False,Neu
880,etwa,approximately,False,Neu
881,fertig,fertig,False,Neu
882,fit,fit,True,Pos
883,frauen,frauen,False,Neu
884,gegensatz,Opposite,False,Neu
885,gehabt,had,False,Neu
886,geliefert,delivered,False,Neu
887,genre,Genre,False,Neu
888,gern,gern,False,Neu
889,get,get,False,Neu
890,gewünscht,Desired,False,Neu
891,grafik,graphics,False,Neu
892,handlung,Action,False,Neu
893,haut,haut,False,Neu
894,heart,heart,False,Neu
895,historischen,historical,False,Neu
896,hit,hit,False,Neu
897,hoffnung,hoffnung,False,Neu
898,hände,handes,False,Neu
899,idee,idee,False,Neu
900,installation,installation,False,Neu
901,interessantes,Interesting,False,Neu
902,jack,Jack,False,Neu
903,jahres,year,False,Neu
904,jazz,jazz,False,Neu
905,jemand,someone,False,Neu
906,just,Just,False,Neu
907,kit,kit,False,Neu
908,klassischen,Classics,False,Neu
909,kraft,force,False,Neu
910,laut,Loud,False,Neu
911,lee,lee,False,Neu
912,lieblingslied,Favourite song,False,Neu
913,liedern,liedern,False,Neu
914,lucy,lucy,False,Neu
915,manchmal,Sometimes,False,Neu
916,maschine,machine,False,Neu
917,material,Material,False,Neu
918,mehrere,several,False,Neu
919,messer,messer,False,Neu
920,michael,michael,False,Neu
921,möchten,would like to,False,Neu
922,n,n,False,Neu
