,english_tokens,is_polarize,polarity
173,movies,False,Neu
174,must,False,Neu
175,novel,True,Pos
176,only,False,Neu
177,over,False,Neu
178,reading,False,Neu
179,5,False,Neu
180,make,False,Neu
181,say,False,Neu
182,two,False,Neu
183,2,False,Neu
184,job,False,Neu
185,put,False,Neu
186,people,False,Neu
187,amazon,True,Pos
188,sound,False,Neu
189,fantastic,True,Pos
190,kids,False,Neu
191,life,False,Neu
192,ll,False,Neu
193,watch,False,Neu
194,been,False,Neu
195,does,False,Neu
196,find,False,Neu
197,our,False,Neu
198,play,True,Pos
199,interesting,True,Pos
200,both,False,Neu
201,entertaining,True,Pos
202,highly,False,Neu
203,outstanding,True,Pos
204,overall,False,Neu
205,set,False,Neu
206,sure,True,Pos
207,toy,False,Neu
208,value,True,Pos
209,want,True,Pos
210,wow,True,Pos
211,yet,False,Neu
212,classic,False,Neu
213,could,False,Neu
214,long,False,Neu
215,show,False,Neu
216,thought,False,Neu
217,friends,True,Pos
218,go,False,Neu
219,used,False,Neu
220,always,False,Neu
221,characters,False,Neu
222,liked,True,Pos
223,season,False,Neu
224,seen,False,Neu
225,which,False,Neu
226,4,False,Neu
227,deal,False,Neu
228,into,False,Neu
229,money,False,Neu
230,voice,False,Neu
231,3,False,Neu
232,another,False,Neu
233,collection,False,Neu
234,found,False,Neu
235,no,True,Neg
236,superb,True,Pos
237,together,False,Neu
238,looks,False,Neu
239,quite,False,Neu
240,feel,False,Neu
241,lot,False,Neu
242,own,False,Neu
243,purchase,False,Neu
244,re,False,Neu
245,should,False,Neu
246,those,False,Neu
247,after,False,Neu
248,friend,True,Pos
249,hope,True,Pos
250,looking,False,Neu
251,band,False,Neu
252,clean,True,Pos
253,don,False,Neu
254,hand,True,Pos
255,?,False,Neu
256,then,False,Neu
257,brilliant,True,Pos
258,fit,True,Pos
259,action,False,Neu
260,children,False,Neu
261,cute,True,Pos
262,each,False,Neu
263,everyone,False,Neu
264,everything,False,Neu
265,glad,True,Pos
266,know,False,Neu
267,masterpiece,True,Pos
268,simply,False,Neu
269,whole,False,Neu
270,world,False,Neu
271,again,False,Neu
272,daughter,False,Neu
273,day,False,Neu
274,look,False,Neu
275,never,False,Neu
276,cool,True,Pos
277,here,False,Neu
278,big,False,Neu
279,comedy,True,Pos
280,down,False,Neu
281,give,False,Neu
282,lyrics,False,Neu
283,man,False,Neu
284,stuff,False,Neu
285,thing,False,Neu
286,times,False,Neu
287,wish,True,Pos
288,young,False,Neu
289,$,False,Neu
290,back,False,Neu
291,child,False,Neu
292,clear,True,Pos
293,heart,False,Neu
294,listen,False,Neu
295,since,False,Neu
296,super,True,Pos
297,writing,False,Neu
298,1,False,Neu
299,acting,False,Neu
300,around,False,Neu
301,different,False,Neu
302,however,False,Neu
303,laugh,True,Pos
304,original,True,Pos
305,part,False,Neu
306,rock,False,Neu
307,such,False,Neu
308,though,False,Neu
309,condition,False,Neu
310,especially,False,Neu
311,help,True,Pos
312,real,False,Neu
313,small,False,Neu
314,son,False,Neu
315,strong,True,Pos
316,things,False,Neu
317,video,False,Neu
318,albums,False,Neu
319,christmas,False,Neu
320,come,False,Neu
321,heard,False,Neu
322,him,False,Neu
323,live,False,Neu
324,picture,False,Neu
325,place,False,Neu
326,special,True,Pos
327,author,False,Neu
328,being,False,Neu
329,easily,True,Pos
330,exciting,True,Pos
331,history,False,Neu
332,last,False,Neu
333,pleased,True,Pos
334,surprised,True,Pos
335,sweet,True,Pos
336,three,False,Neu
337,top,True,Pos
338,us,False,Neu
339,10,False,Neu
340,bag,False,Neu
341,enjoyable,True,Pos
342,fast,False,Neu
343,keep,False,Neu
344,through,False,Neu
345,while,False,Neu
346,came,False,Neu
347,camera,False,Neu
348,cast,False,Neu
349,character,False,Neu
350,comes,False,Neu
351,d,False,Neu
352,something,False,Neu
353,today,False,Neu
354,without,False,Neu
355,actually,False,Neu
356,done,False,Neu
357,follow,False,Neu
358,free,True,Pos
359,lovely,True,Pos
360,making,False,Neu
361,mystery,False,Neu
362,pictures,False,Neu
363,powerful,True,Pos
364,purchased,False,Neu
365,ray,False,Neu
366,right,False,Neu
367,romance,True,Pos
368,sounds,False,Neu
369,terrific,True,Pos
370,won,True,Pos
371,adventure,True,Pos
372,bit,False,Neu
373,dance,False,Neu
374,extremely,False,Neu
375,few,False,Neu
376,fits,False,Neu
377,full,False,Neu
378,going,False,Neu
379,helpful,True,Pos
380,humor,True,Pos
381,line,False,Neu
382,myself,False,Neu
383,off,False,Neu
384,once,False,Neu
385,person,False,Neu
386,played,True,Pos
387,plot,False,Neu
388,stories,False,Neu
389,style,False,Neu
390,thank,True,Pos
391,thanks,True,Pos
392,worked,False,Neu
393,yes,True,Pos
394,certainly,True,Pos
395,comfortable,True,Pos
396,cover,False,Neu
397,end,False,Neu
398,fabulous,True,Pos
399,ha,True,Pos
400,need,False,Neu
401,others,False,Neu
402,seems,False,Neu
403,short,False,Neu
404,take,False,Neu
405,version,False,Neu
406,--,False,Neu
407,arrived,False,Neu
408,doesn,False,Neu
409,favorites,True,Pos
410,hard,True,Neg
411,high,False,Neu
412,item,False,Neu
413,player,False,Neu
414,said,False,Neu
415,shows,False,Neu
416,talent,True,Pos
417,almost,False,Neu
418,bonus,True,Pos
419,enough,False,Neu
420,features,False,Neu
421,feels,False,Neu
422,getting,False,Neu
423,group,False,Neu
424,lots,False,Neu
425,service,False,Neu
426,several,False,Neu
427,solid,True,Pos
428,..,False,Neu
429,art,False,Neu
430,before,False,Neu
431,blu,False,Neu
432,disc,False,Neu
433,filled,False,Neu
434,finally,False,Neu
435,gets,False,Neu
436,having,False,Neu
437,home,False,Neu
438,impressed,True,Pos
439,information,False,Neu
440,interested,True,Pos
441,piece,False,Neu
442,please,True,Pos
443,received,False,Neu
444,review,False,Neu
445,second,False,Neu
446,stars,False,Neu
447,start,False,Neu
448,trust,True,Pos
449,ages,False,Neu
450,baby,False,Neu
451,coffee,False,Neu
452,ending,False,Neu
453,exactly,False,Neu
454,god,True,Pos
455,guy,False,Neu
456,hilarious,True,Pos
457,husband,False,Neu
458,illustrations,False,Neu
459,joy,True,Pos
460,likes,True,Pos
461,mine,False,Neu
462,next,False,Neu
463,ok,True,Pos
464,performance,False,Neu
465,same,False,Neu
466,shape,False,Neu
467,shipping,False,Neu
468,smooth,False,Neu
469,talented,True,Pos
470,took,False,Neu
471,watching,False,Neu
472,why,False,Neu
473,wonderfully,True,Pos
474,.&quot,False,Neu
475,alot,False,Neu
476,bad,True,Neg
477,beautifully,True,Pos
478,course,False,Neu
479,days,False,Neu
480,effects,False,Neu
481,fans,False,Neu
482,fine,True,Pos
483,games,False,Neu
484,hear,False,Neu
485,hero,True,Pos
486,kind,True,Pos
487,let,False,Neu
488,nicely,True,Pos
489,nt,False,Neu
490,ordered,False,Neu
491,pleasure,True,Pos
492,quickly,False,Neu
493,recording,False,Neu
494,simple,False,Neu
495,size,False,Neu
496,soundtrack,False,Neu
497,tv,False,Neu
498,wait,False,Neu
499,where,False,Neu
500,yourself,False,Neu
501,actors,False,Neu
502,case,False,Neu
503,delightful,True,Pos
504,drama,False,Neu
505,easier,True,Pos
506,entertainment,True,Pos
507,feeling,True,Pos
508,fresh,True,Pos
509,girl,False,Neu
510,guys,False,Neu
511,huge,True,Pos
512,incredible,False,Neu
513,install,False,Neu
514,keyboard,False,Neu
515,light,False,Neu
516,lover,True,Pos
517,may,False,Neu
518,might,False,Neu
519,party,True,Pos
520,playing,True,Pos
521,probably,False,Neu
522,recommended,True,Pos
523,sturdy,False,Neu
524,support,True,Pos
525,suspense,False,Neu
526,under,False,Neu
527,using,False,Neu
528,water,False,Neu
529,8,False,Neu
530,addition,False,Neu
531,along,False,Neu
532,b,False,Neu
533,box,False,Neu
534,color,False,Neu
535,creative,True,Pos
536,didn,False,Neu
537,dream,True,Pos
538,enjoys,True,Pos
539,fell,False,Neu
540,genre,False,Neu
541,gorgeous,True,Pos
542,graphics,False,Neu
543,hit,False,Neu
544,inspiring,True,Pos
545,iron,False,Neu
546,knife,False,Neu
547,listening,False,Neu
548,month,False,Neu
549,pop,False,Neu
550,single,False,Neu
551,system,False,Neu
552,tell,False,Neu
553,track,False,Neu
554,woman,False,Neu
555,*,False,Neu
556,:),True,Pos
557,=,False,Neu
558,age,False,Neu
559,ago,False,Neu
560,american,False,Neu
561,boy,False,Neu
562,cds,False,Neu
563,couldn,False,Neu
564,edition,False,Neu
565,faith,True,Pos
566,filter,False,Neu
567,flick,False,Neu
568,gives,False,Neu
569,guitar,False,Neu
570,hair,False,Neu
571,historical,False,Neu
572,holes,False,Neu
573,itself,False,Neu
574,men,False,Neu
575,musical,False,Neu
576,night,False,Neu
577,opinion,False,Neu
578,page,False,Neu
579,pleasantly,True,Pos
580,release,False,Neu
581,saw,False,Neu
582,surprise,True,Pos
583,try,False,Neu
584,words,False,Neu
585,workout,False,Neu
586,....,False,Neu
587,9,False,Neu
588,able,False,Neu
589,add,False,Neu
590,animals,False,Neu
591,anything,False,Neu
592,anyway,False,Neu
593,away,False,Neu
594,believe,False,Neu
595,britney,False,Neu
596,buying,False,Neu
597,charm,True,Pos
598,complete,False,Neu
599,early,False,Neu
600,energy,True,Pos
601,excitement,True,Pos
602,expected,False,Neu
603,experience,False,Neu
604,face,False,Neu
605,fantasy,False,Neu
606,fascinating,True,Pos
607,fiction,False,Neu
608,giving,True,Pos
609,hits,False,Neu
610,hours,False,Neu
611,inspirational,True,Pos
612,interest,True,Pos
613,john,False,Neu
614,king,False,Neu
615,lens,False,Neu
616,machine,False,Neu
617,metal,False,Neu
618,mom,False,Neu
619,parents,False,Neu
620,pure,False,Neu
621,readers,False,Neu
622,recipes,False,Neu
623,rest,False,Neu
624,rich,True,Pos
625,save,True,Pos
626,sleep,False,Neu
627,soft,False,Neu
628,someone,False,Neu
629,success,True,Pos
630,surprisingly,True,Pos
631,title,False,Neu
632,totally,False,Neu
633,tracks,False,Neu
634,unique,False,Neu
635,vocals,False,Neu
636,wanted,False,Neu
637,wife,False,Neu
638,yoga,False,Neu
639,adventures,True,Pos
640,although,False,Neu
641,beat,False,Neu
642,between,False,Neu
643,bible,False,Neu
644,bright,True,Pos
645,bye,False,Neu
646,cause,False,Neu
647,charming,True,Pos
648,either,False,Neu
649,extra,False,Neu
650,extras,False,Neu
651,films,False,Neu
652,finish,False,Neu
653,george,False,Neu
654,guide,False,Neu
655,heavy,False,Neu
656,house,False,Neu
657,inspired,True,Pos
658,jack,False,Neu
659,jeff,False,Neu
660,keeps,False,Neu
661,least,False,Neu
662,matter,True,Pos
663,mind,False,Neu
664,mix,False,Neu
665,order,False,Neu
666,package,False,Neu
667,parts,False,Neu
668,phone,False,Neu
669,plays,True,Pos
670,production,False,Neu
671,reason,False,Neu
672,role,False,Neu
673,romantic,True,Pos
674,satisfied,True,Pos
675,scene,False,Neu
676,scent,False,Neu
677,school,False,Neu
678,sense,False,Neu
679,sing,False,Neu
680,takes,False,Neu
681,toys,False,Neu
682,treat,True,Pos
683,tried,False,Neu
684,until,False,Neu
685,white,False,Neu
686,wine,False,Neu
687,writer,False,Neu
688,20,False,Neu
689,7,False,Neu
690,ability,True,Pos
691,absolute,False,Neu
692,agree,True,Pos
693,already,False,Neu
694,bands,False,Neu
695,black,False,Neu
696,bra,False,Neu
697,brown,False,Neu
698,car,False,Neu
699,card,False,Neu
700,chance,True,Pos
701,coming,False,Neu
702,copy,False,Neu
703,couple,False,Neu
704,dark,False,Neu
705,delicious,True,Pos
706,details,False,Neu
707,dunham,False,Neu
708,durable,False,Neu
709,else,False,Neu
710,enjoying,True,Pos
711,gave,False,Neu
712,goes,False,Neu
713,hands,False,Neu
714,haven,False,Neu
715,honestly,True,Pos
716,idea,False,Neu
717,important,True,Pos
718,inexpensive,False,Neu
719,james,False,Neu
720,jazz,False,Neu
721,jones,False,Neu
722,kit,False,Neu
723,laughs,True,Pos
724,less,False,Neu
725,lovers,True,Pos
726,loving,True,Pos
727,maybe,False,Neu
728,mood,False,Neu
729,mr,False,Neu
730,ms,False,Neu
731,often,False,Neu
732,ones,False,Neu
733,pack,False,Neu
734,personal,False,Neu
735,plastic,False,Neu
736,power,False,Neu
737,quick,False,Neu
738,r,False,Neu
739,resource,False,Neu
740,seeing,False,Neu
741,smile,True,Pos
742,soon,False,Neu
743,soul,False,Neu
744,started,False,Neu
745,stop,True,Neg
746,store,False,Neu
747,strongly,True,Pos
748,tastes,False,Neu
749,third,False,Neu
750,thoroughly,False,Neu
751,tool,False,Neu
752,understand,False,Neu
753,useful,True,Pos
754,wants,False,Neu
755,wasn,False,Neu
756,watched,False,Neu
757,wise,True,Pos
758,wrong,True,Neg
759,adorable,True,Pos
760,advice,False,Neu
761,appreciate,True,Pos
762,artists,False,Neu
763,behind,False,Neu
764,bill,False,Neu
765,birthday,False,Neu
766,blend,False,Neu
767,brings,False,Neu
768,cables,False,Neu
769,catchy,False,Neu
770,colors,False,Neu
771,covers,False,Neu
772,date,False,Neu
773,deep,False,Neu
774,delight,True,Pos
775,designed,False,Neu
776,diana,False,Neu
777,directions,False,Neu
778,dog,False,Neu
779,fact,False,Neu
780,finished,False,Neu
781,funniest,True,Pos
782,gifts,False,Neu
783,girls,False,Neu
784,glass,False,Neu
785,harry,False,Neu
786,hat,False,Neu
787,head,False,Neu
788,hold,False,Neu
789,holds,False,Neu
790,honest,True,Pos
791,incredibly,False,Neu
792,insight,False,Neu
793,intelligent,True,Pos
794,la,False,Neu
795,language,False,Neu
796,learn,False,Neu
797,left,False,Neu
798,level,False,Neu
799,loud,False,Neu
800,material,False,Neu
801,memory,False,Neu
802,message,False,Neu
803,minutes,False,Neu
804,move,False,Neu
805,oh,False,Neu
806,performances,False,Neu
807,period,False,Neu
808,photos,False,Neu
809,pick,False,Neu
810,point,False,Neu
811,radio,False,Neu
812,rather,False,Neu
813,reader,False,Neu
814,record,False,Neu
815,scenes,False,Neu
816,science,False,Neu
817,sexy,True,Pos
818,share,True,Pos
819,sit,False,Neu
820,speakers,False,Neu
821,star,False,Neu
822,ta,False,Neu
823,touching,False,Neu
824,type,False,Neu
825,u,False,Neu
826,unit,False,Neu
827,women,False,Neu
828,write,False,Neu
829,wrote,False,Neu
830,x,False,Neu
831,#,False,Neu
832,accurate,False,Neu
833,air,False,Neu
834,among,False,Neu
835,anime,False,Neu
836,audio,False,Neu
837,available,False,Neu
838,bargain,True,Pos
839,beach,False,Neu
840,beats,False,Neu
841,beauty,True,Pos
842,beginning,False,Neu
843,blue,False,Neu
844,care,True,Pos
845,cat,False,Neu
846,cats,False,Neu
847,childhood,False,Neu
848,city,False,Neu
849,clearly,True,Pos
850,comic,False,Neu
851,company,False,Neu
852,cost,False,Neu
853,debut,False,Neu
854,delivered,False,Neu
855,delivery,False,Neu
856,design,False,Neu
857,detail,False,Neu
858,disappointed,True,Neg
859,doll,False,Neu
860,dreams,True,Pos
861,during,False,Neu
862,effort,False,Neu
863,encourage,True,Pos
864,etc,False,Neu
865,example,False,Neu
866,eye,False,Neu
867,felt,False,Neu
868,fi,False,Neu
869,fill,False,Neu
870,food,False,Neu
871,forever,False,Neu
872,future,False,Neu
873,gloves,False,Neu
874,grandson,False,Neu
875,growing,True,Pos
876,half,False,Neu
877,heartwarming,True,Pos
878,hip,False,Neu
879,holy,False,Neu
880,informative,False,Neu
881,inspiration,True,Pos
882,instead,False,Neu
883,kept,False,Neu
884,kid,False,Neu
885,knew,False,Neu
886,knows,False,Neu
887,large,False,Neu
888,learning,False,Neu
889,lee,False,Neu
890,lines,False,Neu
891,listened,False,Neu
892,lives,False,Neu
893,lucky,True,Pos
894,lucy,False,Neu
895,market,False,Neu
896,mary,False,Neu
897,michael,False,Neu
898,moments,False,Neu
899,months,False,Neu
900,moon,False,Neu
901,n,False,Neu
902,natural,True,Pos
903,needed,False,Neu
904,needs,False,Neu
905,non,False,Neu
906,offers,False,Neu
907,owned,False,Neu
908,peace,True,Pos
909,personally,False,Neu
910,pitcher,False,Neu
911,potter,False,Neu
912,practice,False,Neu
913,present,False,Neu
914,priced,False,Neu
915,products,False,Neu
916,punk,False,Neu
917,reference,False,Neu
918,relaxing,True,Pos
919,remember,False,Neu
920,rice,False,Neu
921,room,False,Neu
922,says,False,Neu
923,sci,False,Neu
924,screen,False,Neu
925,seller,False,Neu
926,shoes,False,Neu
927,singer,False,Neu
928,singing,False,Neu
929,skin,False,Neu
930,smaller,False,Neu
931,smell,False,Neu
932,smells,False,Neu
933,solution,True,Pos
934,space,False,Neu
935,study,False,Neu
936,stunning,True,Pos
937,suggest,False,Neu
938,summer,False,Neu
939,taken,False,Neu
940,teen,False,Neu
941,text,False,Neu
942,tops,True,Pos
943,trip,False,Neu
944,truth,True,Pos
945,tunes,False,Neu
946,turned,False,Neu
947,unlike,False,Neu
948,usually,False,Neu
949,vocal,False,Neu
950,warm,True,Pos
951,wizard,False,Neu
952,wonder,False,Neu
953,word,False,Neu
954,yeah,True,Pos
955,11,False,Neu
956,12,False,Neu
957,15,False,Neu
958,24,False,Neu
959,30,False,Neu
960,50,False,Neu
961,6,False,Neu
962,60,False,Neu
963,_,False,Neu
964,acted,False,Neu
965,advertised,False,Neu
966,amount,False,Neu
967,amusing,True,Pos
968,artist,False,Neu
969,authors,False,Neu
970,background,False,Neu
971,ballads,False,Neu
972,bar,False,Neu
973,bass,False,Neu
974,bike,False,Neu
975,brilliantly,True,Pos
976,bring,False,Neu
977,c,False,Neu
978,called,False,Neu
979,casting,False,Neu
980,change,False,Neu
981,cheap,False,Neu
982,check,False,Neu
983,christian,False,Neu
984,class,False,Neu
985,classics,False,Neu
986,clock,False,Neu
987,com,False,Neu
988,comedies,True,Pos
989,compilation,False,Neu
990,counter,False,Neu
991,created,True,Pos
992,cup,False,Neu
993,definately,False,Neu
994,definite,True,Pos
995,described,False,Neu
996,dictionary,False,Neu
997,direction,False,Neu
998,disappoint,True,Neg
999,dogs,False,Neu
1000,door,False,Neu
1001,due,False,Neu
1002,dvds,False,Neu
1003,ease,True,Pos
1004,educational,False,Neu
1005,effective,True,Pos
1006,emotional,True,Pos
1007,english,False,Neu
1008,everyday,False,Neu
1009,examples,False,Neu
1010,except,False,Neu
1011,fairly,False,Neu
1012,favor,True,Pos
1013,finds,False,Neu
1014,flavor,False,Neu
1015,folk,False,Neu
1016,friendship,True,Pos
1017,gary,False,Neu
1018,given,False,Neu
1019,heaven,True,Pos
1020,helped,False,Neu
1021,holiday,True,Pos
1022,hop,False,Neu
1023,improvement,True,Pos
1024,inside,False,Neu
1025,j,False,Neu
1026,justice,True,Pos
1027,kitchen,False,Neu
1028,library,False,Neu
1029,longer,False,Neu
1030,low,True,Neg
1031,maker,False,Neu
1032,mature,True,Pos
1033,melodies,False,Neu
1034,mention,False,Neu
1035,miss,True,Neg
1036,missing,True,Neg
1037,modern,False,Neu
1038,mother,False,Neu
1039,moving,False,Neu
1040,neat,True,Pos
1041,nevertheless,False,Neu
1042,norah,False,Neu
1043,nothing,False,Neu
1044,novels,False,Neu
1045,o,False,Neu
1046,older,False,Neu
1047,open,False,Neu
1048,opener,False,Neu
1049,otherwise,False,Neu
1050,oz,False,Neu
1051,packed,False,Neu
1052,pages,False,Neu
1053,paul,False,Neu
1054,peter,False,Neu
1055,pieces,False,Neu
1056,pleasant,True,Pos
1057,plus,False,Neu
1058,possible,False,Neu
1059,presents,False,Neu
1060,produced,False,Neu
1061,professional,False,Neu
1062,program,False,Neu
1063,puzzles,False,Neu
1064,rack,False,Neu
1065,range,False,Neu
1066,ready,True,Pos
1067,reccomend,False,Neu
1068,respect,True,Pos
1069,saying,False,Neu
1070,sheets,False,Neu
1071,shoe,False,Neu
1072,side,False,Neu
1073,silly,True,Pos
1074,singers,False,Neu
1075,sister,False,Neu
1076,smith,False,Neu
1077,sports,False,Neu
1078,stand,False,Neu
1079,storage,False,Neu
1080,straight,True,Pos
1081,subtle,False,Neu
1082,superior,True,Pos
1083,supposed,False,Neu
1084,tea,False,Neu
1085,television,False,Neu
1086,ten,False,Neu
1087,thrilled,True,Pos
1088,thriller,True,Pos
1089,throughout,False,Neu
1090,tune,False,Neu
1091,turns,False,Neu
1092,uses,False,Neu
1093,vampire,False,Neu
1094,variety,False,Neu
1095,voices,False,Neu
1096,wear,False,Neu
1097,week,False,Neu
1098,weeks,False,Neu
1099,went,False,Neu
1100,witty,False,Neu
1101,wood,False,Neu
1102,working,False,Neu
1103,york,False,Neu
1104,):,True,Neg
1105,+,False,Neu
1106,2nd,False,Neu
1107,40,False,Neu
1108,70,False,Neu
1109,[,False,Neu
1110,],False,Neu
1111,across,False,Neu
1112,added,False,Neu
1113,admit,True,Pos
1114,alike,False,Neu
1115,amazed,True,Pos
1116,angelina,False,Neu
1117,animation,False,Neu
1118,apos;&apos,False,Neu
1119,appreciated,True,Pos
1120,aren,False,Neu
1121,ask,False,Neu
1122,balls,False,Neu
1123,became,False,Neu
1124,bed,False,Neu
1125,bigger,False,Neu
1126,blood,False,Neu
1127,boys,False,Neu
1128,brand,False,Neu
1129,built,False,Neu
1130,cake,False,Neu
1131,chain,False,Neu
1132,challenge,True,Pos
1133,chick,False,Neu
1134,choice,False,Neu
1135,classical,False,Neu
1136,close,False,Neu
1137,club,False,Neu
1138,compact,False,Neu
1139,completely,False,Neu
1140,comprehensive,True,Pos
1141,concert,False,Neu
1142,considering,False,Neu
1143,content,False,Neu
1144,cook,False,Neu
1145,costume,False,Neu
1146,country,False,Neu
1147,cream,False,Neu
1148,create,True,Pos
1149,curious,True,Pos
1150,daily,False,Neu
1151,development,False,Neu
1152,discovery,False,Neu
1153,disney,False,Neu
1154,doing,False,Neu
1155,drawings,False,Neu
1156,e,False,Neu
1157,eminem,False,Neu
1158,engaging,True,Pos
1159,enlightening,True,Pos
1160,episodes,False,Neu
1161,everybody,False,Neu
1162,excited,True,Pos
1163,eyes,False,Neu
1164,fairy,False,Neu
1165,five,False,Neu
1166,flash,False,Neu
1167,focused,True,Pos
1168,foundation,False,Neu
1169,fridge,False,Neu
1170,friendly,True,Pos
1171,gameplay,False,Neu
1172,gentle,True,Pos
1173,goodness,True,Pos
1174,gotten,False,Neu
1175,grade,False,Neu
1176,grand,True,Pos
1177,guitars,False,Neu
1178,handy,False,Neu
1179,happen,False,Neu
1180,happened,False,Neu
1181,happens,False,Neu
1182,helping,True,Pos
1183,helps,True,Pos
1184,holidays,True,Pos
1185,humorous,True,Pos
1186,image,False,Neu
1187,importantly,True,Pos
1188,items,False,Neu
1189,joe,False,Neu
1190,jump,False,Neu
1191,kiss,True,Pos
1192,known,False,Neu
1193,larger,False,Neu
1194,later,False,Neu
1195,laughed,True,Pos
1196,lessons,False,Neu
1197,list,False,Neu
1198,local,False,Neu
1199,lol,True,Pos
1200,looked,False,Neu
1201,lp,False,Neu
1202,madonna,False,Neu
1203,marvelous,True,Pos
1204,mean,False,Neu
1205,milk,False,Neu
1206,miracle,True,Pos
1207,model,False,Neu
1208,mommy,False,Neu
1209,monitor,False,Neu
1210,morgan,False,Neu
1211,mouse,False,Neu
1212,musicals,False,Neu
1213,musician,False,Neu
1214,nikon,False,Neu
1215,office,False,Neu
1216,orwell,False,Neu
1217,overly,False,Neu
1218,paid,False,Neu
1219,pan,False,Neu
1220,pans,False,Neu
1221,pass,False,Neu
1222,pay,True,Neg
1223,perfection,True,Pos
1224,pet,False,Neu
1225,popular,True,Pos
1226,practical,False,Neu
1227,previous,False,Neu
1228,proves,False,Neu
1229,ps2,False,Neu
1230,puzzle,False,Neu
1231,questions,False,Neu
1232,rain,False,Neu
1233,reads,False,Neu
1234,recently,False,Neu
1235,red,False,Neu
1236,refreshing,False,Neu
1237,replacement,False,Neu
1238,results,False,Neu
1239,ride,False,Neu
1240,ring,False,Neu
1241,rings,False,Neu
1242,rocks,False,Neu
1243,saved,True,Pos
1244,saver,False,Neu
1245,seem,False,Neu
1246,selection,False,Neu
1247,serious,True,Neg
1248,sets,False,Neu
1249,sharing,True,Pos
1250,shorts,False,Neu
1251,soothing,True,Pos
1252,sounding,False,Neu
1253,spend,False,Neu
1254,spent,False,Neu
1255,square,False,Neu
1256,stone,False,Neu
1257,storyline,False,Neu
